country,Year,PatentNum,maxCitations,avgCitations,diffCitations
CO,1987,4696158,4,2.6666666666666665,1.3333333333333335
CO,1996,5533997,5,3.75,1.25
CO,1964,3161683,2,2.0,0.0
CO,1965,3193512,6,2.5,3.5
CO,1990,4932651,11,3.75,7.25
CO,1983,4370543,13,6.0,7.0
CO,1994,5334777,1,1.0,0.0
CO,1966,3234564,35,17.2,17.8
CO,1993,5238042,2,1.6,0.3999999999999999
CO,1977,4006823,5,5.0,0.0
CO,1970,3516410,31,16.5,14.5
CO,1989,4850866,4,2.5,1.5
CO,1988,4728525,6,4.75,1.25
CO,1981,4248945,1,1.0,0.0
CO,1991,5056841,3,1.6666666666666667,1.3333333333333333
CO,1985,4496419,20,10.333333333333334,9.666666666666666
CO,1968,3411463,8,5.5,2.5
CO,1969,3422586,9,4.6,4.4
CO,1974,3805299,24,12.25,11.75
CO,1992,5133726,18,6.666666666666667,11.333333333333332
CO,1997,5614459,1,1.0,0.0
CO,1978,4081288,24,9.5,14.5
CO,1984,4465421,8,5.666666666666667,2.333333333333333
CO,1972,3633849,36,12.857142857142858,23.142857142857142
CO,1971,3578886,30,8.166666666666666,21.833333333333336
CO,1998,5710487,2,1.5,0.5
CO,1979,4136417,26,13.5,12.5
CO,1975,3886948,34,18.0,16.0
CO,1986,4573303,11,4.75,6.25
CO,1980,4214384,21,21.0,0.0
CO,1976,3972985,12,5.333333333333333,6.666666666666667
CO,1982,4312293,5,4.5,0.5
CR,1990,4912682,6,3.5,2.5
CR,1976,3932628,4,2.5,1.5
CR,1975,3863365,3,2.5,0.5
CR,1980,4184602,4,4.0,0.0
CR,1979,4140065,13,9.5,3.5
CR,1997,5652784,2,2.0,0.0
CR,1974,3791577,2,2.0,0.0
CR,1994,5331967,5,5.0,0.0
CR,1971,3561437,12,12.0,0.0
CR,1967,3357819,2,1.5,0.5
CR,1995,5425617,2,1.3333333333333333,0.6666666666666667
CR,1985,4549479,6,3.5,2.5
CR,1963,3108653,5,5.0,0.0
CR,1981,4267831,11,5.4,5.6
CR,1965,3169792,16,11.5,4.5
CR,1978,4118248,3,2.5,0.5
CR,1988,4718558,17,10.5,6.5
CR,1989,4834398,7,7.0,0.0
CR,1987,4702909,17,17.0,0.0
CR,1993,5216860,4,4.0,0.0
CR,1992,5083410,1,1.0,0.0
CR,1977,4057146,30,30.0,0.0
CR,1982,4319771,4,3.0,1.0
CR,1991,5066247,4,4.0,0.0
CS,1964,3117565,15,3.9130434782608696,11.08695652173913
CS,1976,3933183,35,5.462365591397849,29.537634408602152
CS,1981,4246749,19,5.5588235294117645,13.441176470588236
CS,1969,3422667,35,4.75531914893617,30.24468085106383
CS,1978,4065942,26,5.2105263157894735,20.789473684210527
CS,1996,5500990,3,2.3333333333333335,0.6666666666666665
CS,1979,4133942,32,5.7,26.3
CS,1974,3782111,20,5.118279569892473,14.881720430107528
CS,1997,5607688,3,1.3333333333333333,1.6666666666666667
CS,1994,5294324,8,3.6923076923076925,4.3076923076923075
CS,1992,5080683,26,5.555555555555555,20.444444444444443
CS,1973,3711519,27,5.55,21.45
CS,1975,3858621,19,5.117021276595745,13.882978723404255
CS,1987,4634316,24,5.0,19.0
CS,1985,4492766,22,4.883720930232558,17.116279069767444
CS,1990,4890911,11,3.7241379310344827,7.275862068965518
CS,1995,5387676,10,3.7,6.3
CS,1966,3227042,17,4.333333333333333,12.666666666666668
CS,1968,3361858,40,5.285714285714286,34.714285714285715
CS,1989,4806287,27,5.24,21.759999999999998
CS,1963,3074438,9,2.869565217391304,6.130434782608695
CS,1982,4317166,20,5.794871794871795,14.205128205128204
CS,1991,4988277,8,2.6363636363636362,5.363636363636363
CS,1967,3296533,16,3.287671232876712,12.712328767123289
CS,1970,3488037,37,5.3979591836734695,31.60204081632653
CS,1988,4722813,48,4.071428571428571,43.92857142857143
CS,1983,4369620,19,4.03125,14.96875
CS,1993,5177204,13,6.2,6.8
CS,1965,3166068,111,6.078947368421052,104.92105263157895
